Using somtoolbox.jar


Nearest neighbours to 'classical\classical_artist_10_album_1_track_1.mp3', using distance metric: L2
Rank	InputName                                                                                     	Distance
82	classical\classical_28-suite_in_f_major_-_sarabande.mp3                                       	197.79369899648228
83	classical\classical_8-suite_ii_in_re_minore_-_allemande.mp3                                   	198.59004210585218
84	classical\classical_artist_9_album_2_track_2.mp3                                              	199.03565977471646
85	classical\classical_artist_24_album_1_track_2.mp3                                             	199.07584093531855
86	classical\classical_14-set_a_5_in_c_minor_aire.mp3                                            	199.1181579972392
87	classical\classical_artist_38_album_1_track_3.mp3                                             	200.24876625207602
88	classical\classical_artist_8_album_1_track_1.mp3                                              	201.33528475875846
89	classical\classical_7-sonata_in_b_flat_minor_kv_570.mp3                                       	201.57146296287928
90	classical\classical_11-fantasia_11.mp3                                                        	201.74927029811582
91	classical\classical_7-suite_ii_in_re_minore_-_prelude.mp3                                     	201.84472708944992
92	world\world_11-gret_funnel_line.mp3                                                           	202.02055851100144
93	classical\classical_artist_12_album_1_track_1.mp3                                             	202.27118871104608
94	classical\classical_17-psallat_immensas_chorus.mp3                                            	202.59892012084165
95	classical\classical_19-tamerlano_act_i_track_19.mp3                                           	202.733855400854
96	classical\classical_artist_12_album_1_track_2.mp3                                             	203.2151658053317
97	classical\classical_artist_9_album_1_track_3.mp3                                              	203.3182596465798
98	classical\classical_artist_35_album_2_track_1.mp3                                             	203.43989732622893
99	classical\classical_artist_9_album_2_track_7.mp3                                              	203.61599699636847
100	classical\classical_artist_18_album_1_track_2.mp3                                             	203.6869610122696
