Using somtoolbox.jar


Nearest neighbours to 'jazz_blues\jazz_blues_9-silk_road.mp3', using distance metric: L2
Rank	InputName                                                                        	Distance
85	classical\classical_3-tamerlano_act_iii_track_3.mp3                              	299.63516058115414
86	classical\classical_4-passemezzo_and_saltarello.mp3                              	299.72087710425967
87	classical\classical_artist_35_album_2_track_5.mp3                                	300.25495579950655
88	classical\classical_12-sonata_in_d_major_kv_576.mp3                              	300.5043427787476
89	classical\classical_artist_10_album_1_track_2.mp3                                	301.0802977753962
90	classical\classical_artist_35_album_1_track_1.mp3                                	301.4837041721998
91	world\world_1-ashek.mp3                                                          	301.52313088484436
92	classical\classical_artist_1_album_1_track_7.mp3                                 	301.55591870953566
93	classical\classical_6-corrente_iii_con_la_sua_replica.mp3                        	301.79131352706617
94	rock_pop\rock_pop_artist_94_album_1_track_1.mp3                                  	302.17661611269176
95	world\world_artist_115_album_3_track_1.mp3                                       	302.37286952136003
96	world\world_artist_113_album_1_track_6.mp3                                       	302.8372132407703
97	classical\classical_artist_10_album_1_track_1.mp3                                	303.19304202213476
98	classical\classical_artist_40_album_5_track_1.mp3                                	303.49709665053825
99	classical\classical_artist_32_album_3_track_2.mp3                                	303.6241723252103
100	classical\classical_14-suite_in_g_major_-_gigue.mp3                              	303.81459779034293
