Using somtoolbox.jar


Nearest neighbours to 'rock_pop\rock_pop_3-air_chair.mp3', using distance metric: L2
Rank	InputName                                                                           	Distance
84	classical\classical_14-philip_hayes_concerto_in_a_major_(1769).mp3                  	194.34586942554662
85	classical\classical_4-the_blessed_i've_already_chosen.mp3                           	195.12232463436223
86	classical\classical_artist_21_album_1_track_5.mp3                                   	196.4399610157893
87	world\world_artist_127_album_1_track_1.mp3                                          	198.10601486068072
88	classical\classical_artist_25_album_1_track_6.mp3                                   	199.97709043248932
89	classical\classical_artist_25_album_1_track_5.mp3                                   	200.97161708937895
90	classical\classical_artist_8_album_1_track_2.mp3                                    	202.2148928995235
91	classical\classical_12-corelli_trio_sonata_op._1_no..mp3                            	204.06637567555978
92	classical\classical_artist_25_album_2_track_2.mp3                                   	204.4648818963442
93	classical\classical_artist_22_album_2_track_1.mp3                                   	204.6143381908025
94	classical\classical_artist_7_album_4_track_3.mp3                                    	205.52713937832215
95	classical\classical_8-ave_regina.mp3                                                	206.4569168703826
96	world\world_5-go.mp3                                                                	208.0005970889698
97	classical\classical_artist_9_album_3_track_4.mp3                                    	208.57431853420206
98	classical\classical_artist_37_album_1_track_1.mp3                                   	211.80002121606557
99	classical\classical_artist_38_album_1_track_4.mp3                                   	211.96982768637224
100	classical\classical_13-o_maria_magdalena.mp3                                        	213.29789669570627
